start,end,text
2820,3700,Глава 2.
6980,7840,Они плакали.
8640,9920,"Честное слово, они плакали."
10540,12600,"Все те, у кого мы снимали или купили"
12600,13780,поместья на той улице.
14700,17080,"Первые пустили слезу от того, что закончилось их"
17080,19440,"счастье, и больше никто не станет платить им"
19440,20040,таких денег.
20820,23240,"Вторые — от того, что Алкай, взявший в"
23240,26480,"свои руки духовные камни семьи, давно обещанный мне"
26480,29560,"седым казначей, даже не подумал продать обратно ни"
29560,30320,одно поместье.
30890,33040,"Я бы так и поступил, чтобы выручить хоть"
33040,36080,"немного духовных камней, но он наотрез отказался."
36880,37500,Глава.
37880,40080,Сейчас эти деньги ничего нам не дадут.
40440,42360,"В конце концов, на еду нам хватает же."
43060,44860,"Да, можно пригрозить владельцам."
45460,47840,"Можно многое что придумать, чтобы выбить из них"
47840,49100,"деньги, но к чему?"
49920,52540,Позже эти суммы станут для нас несущественными.
53120,54040,А еще позже.
54440,56260,Нам вновь может понадобиться место здесь.
56260,58780,Не навсегда же мы уходим от наших соседей.
59460,62620,Из этих поместья получится отличная резиденция семьи и
62620,65920,"неплохие торговые лавки, которые принесут нам в десятеро"
65920,67420,"больше, чем мы на них потратили."
68120,70640,"Как по мне, они все — мои новые"
70640,74520,"подчиненные, бывшие орденцы — видели наше будущее слишком"
74520,75760,светлым и безоблачным.
76380,78480,"Еще даже ключ не отыскали, а один уже"
78480,80800,подумывает о торговых лавках в соседней фракции.
81340,83100,Второй — о продаже добычи с поля битвы
83100,85720,на одном аукционе с одной очень интересной ведущей.
85720,89200,"Третий ждет от первых двух духовных камней, чтобы"
89200,90480,начать строить Академию.
91000,95460,"Четвертый — «Глава, почему вы такой мрачный?»"
95460,99260,"Я мазнул взглядом по Алкаю, Комтуру, вернее, старейшине"
99260,103020,"семьи, моему казначею, и буркнул чистую правду."
103460,105940,«Потому что вы слишком радостные».
105940,107400,Он сразу перестал улыбаться.
107920,111200,"«Глава, мы долгие годы жили под гнетом вины,"
111480,113400,обязательств и несбывшихся надежд.
113820,116040,Мы...» Я жестом заставил его замолчать.
116260,118140,«Ты решил повторить путь Седова?
118440,119860,Я все это уже слышал».
120700,124160,"«Слышали, но не приняли, глава», — насмешливо возразил"
124160,124680,он в ответ.
125360,126060,Я замер.
126520,129220,«Это еще что за тон?» Вновь упер
129220,130480,взгляд в него и заметил.
130920,133800,"«Послушай, Алкай, в первый день ты показал себя"
133800,134500,не с лучшей стороны».
135400,137060,"«Моя вина велика, глава."
137440,138380,Мне нет прощения.
139040,142160,"Пустые слова, которые мне не нужны», — отмахнулся"
142160,144400,я от этого набившего оскомину извинения.
145220,147020,"«Скажите, что вам нужно, глава?"
147600,150180,Чтобы в твоем тоне не ощущалось высокомерие.
150780,154140,Что за нравоучительный тон?» Я буквально передразнивая
154140,154600,повторил.
155200,157720,"«Слышали, но не приняли, глава»."
157720,158660,Алкай побледнел.
159740,160380,«Глава».
160380,162200,"Я вздохнул, потер бровь."
163020,164280,Я тоже перешел черту.
